ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
1,Graphene,121.9,CVD,Glass,1.68,3.55,3.64,60.278262,83.33,Optoelectronics,S8
2,Al2O3,58.9,ALD,PET,1.52,2.68,1.69,75.207269,91.13,Sensors,S4
3,MoS2,76.5,CVD,Quartz,1.76,1.4,2.24,43.37235,94.03,Sensors,S6
4,Graphene,99.7,ALD,Silicon Wafer,1.72,2.63,4.15,43.096696,79.98,Optoelectronics,S2
5,ITO,89.6,Thermal Evaporation,PET,2.19,3.43,1.99,19.00854,94.08,Transparent Conductors,S18
6,SiO2,115.9,Sputtering,Silicon Wafer,1.76,1.74,3.58,86.201565,79.1,Transparent Conductors,S15
7,SiO2,125.1,ALD,Silicon Wafer,2.8,1.37,3.68,62.969568,88.88,Solar Cells,S22
8,TiO2,185.3,CVD,Glass,2.0,2.83,1.31,83.02341,78.81,Optoelectronics,S24
9,Graphene,103.2,CVD,Silicon Wafer,2.37,1.28,1.39,34.770196,77.05,Sensors,S10
10,ITO,35.1,Sputtering,Silicon Wafer,1.83,1.2,2.15,20.181311,78.94,Sensors,S22
11,SnO2,121.0,Sputtering,Silicon Wafer,2.57,2.74,1.23,36.868127,79.1,Solar Cells,S5
12,TiO2,163.9,Spin Coating,Silicon Wafer,2.4,2.19,4.57,28.428134,71.68,Sensors,S3
13,MoS2,89.1,CVD,PET,2.84,2.66,2.24,7.531068,84.37,Solar Cells,S10
14,ITO,102.2,Thermal Evaporation,Quartz,1.83,1.19,3.32,25.867482,89.0,Solar Cells,S17
15,TiO2,112.9,Thermal Evaporation,PET,1.72,2.04,2.83,75.191464,86.19,Solar Cells,S8
16,ZnO,96.9,ALD,PET,2.36,2.54,2.08,3.486975,90.54,Solar Cells,S25
17,MoS2,133.9,Sputtering,Quartz,2.0,1.75,0.73,95.438773,94.78,Transparent Conductors,S24
18,SnO2,82.3,Spin Coating,Quartz,2.76,1.87,1.47,80.804795,72.76,Sensors,S5
19,SnO2,123.5,Spin Coating,PET,2.3,3.98,3.4,33.892381,82.96,Transparent Conductors,S25
20,SnO2,118.4,Thermal Evaporation,Silicon Wafer,2.31,1.9,3.32,7.370972,80.36,Transparent Conductors,S20
21,SnO2,114.5,CVD,PET,1.99,3.41,3.43,77.253664,83.77,Solar Cells,S18
22,MoS2,146.1,Thermal Evaporation,Glass,2.13,3.04,1.35,26.175335,71.84,Transparent Conductors,S12
23,Graphene,24.0,ALD,Silicon Wafer,2.31,2.36,2.91,14.135756,88.62,Transparent Conductors,S19
24,ITO,124.0,ALD,Quartz,2.4,1.91,3.64,53.857987,87.68,Optoelectronics,S8
25,TiO2,85.9,CVD,Quartz,2.97,1.72,4.6,13.936155,87.55,Solar Cells,S7
26,SiO2,94.7,CVD,PET,2.96,1.92,3.51,31.327932,93.35,Transparent Conductors,S6
27,TiO2,84.3,CVD,Quartz,2.56,2.53,4.2,75.388019,78.25,Solar Cells,S6
28,TiO2,103.8,Spin Coating,PET,2.87,3.73,0.56,29.070802,77.09,Sensors,S7
29,TiO2,103.4,CVD,Glass,1.81,3.11,3.73,72.390754,86.28,Sensors,S21
30,MoS2,68.6,Spin Coating,PET,2.75,2.24,4.53,21.351847,76.89,Solar Cells,S25
31,MoS2,134.1,Thermal Evaporation,Glass,2.74,1.91,1.74,75.382201,84.49,Transparent Conductors,S6
32,Al2O3,96.6,Spin Coating,Silicon Wafer,2.16,1.31,2.42,91.912751,89.11,Sensors,S1
33,ITO,102.1,Thermal Evaporation,Silicon Wafer,2.96,1.29,1.06,9.647503,75.74,Sensors,S14
34,Graphene,96.2,CVD,Silicon Wafer,2.33,1.49,1.61,96.727931,88.7,Transparent Conductors,S23
35,ZnO,75.1,Spin Coating,PET,2.22,2.85,4.03,91.913911,82.37,Optoelectronics,S5
36,Graphene,70.2,Thermal Evaporation,Glass,2.39,2.28,1.44,61.431153,84.41,Sensors,S20
37,Al2O3,152.3,Spin Coating,Glass,2.1,2.01,2.83,14.987254,83.65,Sensors,S14
38,ITO,79.2,ALD,Quartz,2.9,3.9,0.81,97.521036,92.34,Sensors,S1
39,Graphene,119.4,Sputtering,Quartz,1.58,1.45,3.44,91.033468,74.63,Sensors,S2
40,Al2O3,85.1,CVD,Glass,2.87,2.7,2.6,13.908354,86.1,Transparent Conductors,S15
41,MoS2,80.1,Spin Coating,Silicon Wafer,2.38,3.21,3.2,69.692191,77.66,Sensors,S6
42,Graphene,86.6,ALD,Glass,1.77,3.79,3.77,92.953244,71.4,Solar Cells,S6
43,ITO,89.8,ALD,Silicon Wafer,2.91,2.04,3.95,19.304613,78.15,Sensors,S7
44,TiO2,103.8,ALD,Quartz,1.58,1.36,2.07,8.914791,94.87,Transparent Conductors,S17
45,ZnO,155.2,CVD,PET,2.59,1.9,2.64,27.614182,81.85,Transparent Conductors,S3
46,TiO2,154.8,Spin Coating,PET,2.02,1.27,0.59,35.103493,79.08,Transparent Conductors,S22
