ID,Material,Film_Thickness_nm,Deposition_Method,Substrate,Refractive_Index,Bandgap_eV,Surface_Roughness_nm,Electrical_Conductivity_S_cm,Optical_Transmittance_%,Application,Source
1802_A0,ITO,137.8,ALD,Quartz,2.55,1.63,4.57,58.549375,74.77,Sensors,S24
1191_A1,SnO2,60.0,CVD,Quartz,2.27,1.26,1.02,61.215559,78.03,Solar Cells,S2
1818_A2,TiO2,83.6,ALD,Quartz,2.54,1.64,0.89,59.020091,73.76,Optoelectronics,S14
252_A3,SiO2,98.8,ALD,Quartz,2.49,2.35,4.03,23.39358,74.71,Sensors,S16
2506_A4,TiO2,111.1,Thermal Evaporation,Silicon Wafer,2.2,2.56,4.07,20.643239,92.0,Transparent Conductors,S8
1118_A5,SiO2,144.2,Thermal Evaporation,Glass,2.85,1.13,2.25,73.375643,92.98,Sensors,S9
1412_A6,TiO2,102.8,Thermal Evaporation,Glass,1.6,3.69,0.46,35.65338,88.23,Optoelectronics,S25
2114_A7,Al2O3,84.4,Thermal Evaporation,PET,2.44,1.91,2.87,78.065161,77.06,Solar Cells,S21
409_A8,SiO2,137.7,ALD,Silicon Wafer,2.82,1.63,5.02,13.534138,78.42,Transparent Conductors,S21
2580_A9,SiO2,93.5,Spin Coating,Glass,2.5,2.41,4.11,32.937829,78.78,Optoelectronics,S19
2255_A10,ITO,82.8,Thermal Evaporation,Silicon Wafer,2.64,1.31,4.77,89.889579,91.5,Sensors,S23
53_A11,ITO,88.1,CVD,PET,2.84,1.91,0.55,26.070872,79.79,Sensors,S13
645_A12,ZnO,16.6,CVD,PET,1.96,4.06,4.01,24.701781,89.26,Solar Cells,S16
1764_A13,SiO2,84.6,CVD,PET,2.02,1.64,3.22,60.356187,80.02,Solar Cells,S8
2777_A14,MoS2,92.5,ALD,Quartz,2.57,3.61,3.55,79.766554,78.77,Solar Cells,S16
901_A15,TiO2,120.6,Spin Coating,Silicon Wafer,2.05,2.49,4.08,51.345565,87.25,Transparent Conductors,S14
1074_A16,Al2O3,97.9,Spin Coating,Silicon Wafer,2.5,1.99,3.97,46.338701,77.2,Transparent Conductors,S3
473_A17,ZnO,108.1,Spin Coating,Quartz,2.3,2.3,3.3,93.133698,77.08,Sensors,S1
2739_A18,SiO2,123.0,ALD,Silicon Wafer,2.27,2.92,4.53,47.467356,79.33,Transparent Conductors,S8
2547_A19,TiO2,118.8,ALD,Quartz,2.02,1.72,2.12,89.354793,88.25,Optoelectronics,S17
45_A20,ZnO,155.6,CVD,PET,2.57,1.89,2.76,30.261058,81.14,Transparent Conductors,S3
290_A21,ITO,102.2,Sputtering,Glass,2.63,3.62,4.84,85.131616,78.71,Solar Cells,S24
913_A22,MoS2,123.3,Sputtering,PET,2.55,1.62,4.44,71.191804,88.97,Solar Cells,S11
2084_A23,Al2O3,130.5,ALD,PET,2.86,2.52,4.47,21.440441,93.51,Sensors,S23
1361_A24,ITO,74.0,Sputtering,Glass,2.48,2.98,3.61,7.495497,81.33,Optoelectronics,S6
2896_A25,SiO2,64.7,Thermal Evaporation,Quartz,2.81,2.72,3.56,29.086767,76.66,Optoelectronics,S23
2604_A26,SiO2,97.7,Sputtering,Quartz,2.7,3.01,2.5,31.213474,72.22,Sensors,S13
1227_A27,Al2O3,104.5,Thermal Evaporation,PET,2.66,2.7,2.89,18.641832,73.54,Optoelectronics,S20
297_A28,SnO2,126.7,Thermal Evaporation,Glass,2.68,1.25,2.62,13.347,90.77,Solar Cells,S23
1242_A29,Graphene,119.5,Thermal Evaporation,Glass,2.44,1.04,3.4,55.102142,93.94,Transparent Conductors,S7
1006_A30,MoS2,106.6,Thermal Evaporation,Quartz,2.03,1.72,3.67,49.116563,86.1,Sensors,S2
1666_A31,SiO2,131.1,ALD,Silicon Wafer,2.88,2.71,0.91,26.89467,81.73,Optoelectronics,S14
747_A32,ZnO,72.0,CVD,Quartz,1.87,1.24,1.26,96.05515,80.53,Optoelectronics,S16
2852_A33,MoS2,78.9,CVD,Quartz,2.14,2.76,3.74,82.649416,92.36,Sensors,S22
292_A34,Graphene,94.9,ALD,Silicon Wafer,1.55,0.99,3.27,78.473847,71.94,Solar Cells,S24
782_A35,Al2O3,121.9,CVD,Quartz,2.2,3.61,4.79,49.0134,75.27,Sensors,S10
2145_A36,Graphene,127.0,Spin Coating,PET,2.52,2.61,0.63,49.182385,82.1,Optoelectronics,S14
323_A37,ITO,71.0,ALD,Quartz,2.89,2.82,4.96,70.087502,78.61,Transparent Conductors,S17
299_A38,MoS2,113.7,Sputtering,PET,2.37,3.39,3.64,34.761124,89.38,Solar Cells,S21
1299_A39,TiO2,150.6,Sputtering,Quartz,2.69,3.15,1.51,31.369987,74.9,Transparent Conductors,S24
195_A40,MoS2,115.4,Sputtering,Silicon Wafer,2.01,1.91,1.63,85.554057,96.08,Sensors,S13
64_A41,SiO2,111.7,Sputtering,Silicon Wafer,2.2,1.37,1.69,24.911054,87.49,Transparent Conductors,S22
394_A42,MoS2,161.5,Spin Coating,Silicon Wafer,2.23,2.26,2.4,96.162107,72.66,Sensors,S11
728_A43,ZnO,73.9,Spin Coating,Quartz,2.84,1.43,2.46,30.393733,78.18,Optoelectronics,S24
1584_A44,Graphene,88.6,ALD,Quartz,2.11,1.87,0.57,46.346371,88.54,Optoelectronics,S13
1548_A45,Al2O3,111.8,Sputtering,Silicon Wafer,1.98,3.11,2.07,66.852732,79.07,Sensors,S6
2426_A46,SiO2,157.5,CVD,PET,2.48,2.03,4.31,10.851994,78.95,Transparent Conductors,S16
15_A47,TiO2,111.7,Thermal Evaporation,PET,1.73,1.97,2.65,75.65318,85.52,Solar Cells,S8
2568_A48,Al2O3,62.6,CVD,Glass,2.02,3.25,4.42,44.075398,78.27,Sensors,S25
1601_A49,Graphene,112.8,Thermal Evaporation,Glass,1.66,2.98,1.64,74.069722,72.61,Transparent Conductors,S2
1091_A50,Al2O3,116.6,CVD,Silicon Wafer,2.77,4.03,3.0,91.825295,87.22,Optoelectronics,S1
2112_A51,TiO2,113.2,ALD,PET,1.98,2.58,1.21,72.491788,95.74,Solar Cells,S14
204_A52,SnO2,92.0,CVD,Silicon Wafer,1.76,1.34,1.56,12.761707,78.03,Solar Cells,S13
2419_A53,ITO,79.8,Spin Coating,PET,2.09,1.15,2.03,57.186624,74.61,Sensors,S22
